Steve Bannon,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,153,38,A Little Low
N2: Angry Hostility ,Anger,42,80,Very High
N1: Anxiety ,Anxiety,26,40,A Little Low
N3: Depression ,Depression,21,27,Low
N5: Impulsiveness ,Immoderation,29,47,Average
N4: Self-Consciousness ,Self-consciousness,17,17,Very Low
N6: Vulnerability ,Vulnerability,18,20,Very Low
,,,,
Extraversion ,,212,63,A Little High
E4: Activity ,Activity-Level,34,60,A Little High
E3: Assertiveness ,Assertiveness,44,85,Very High
E6: Positive Emotions ,Cheerfulness,29,47,Average
E5: Excitement-Seeking ,Excitement-Seeking,31,52,Average
E1: Warmth ,Friendliness,36,65,High
E2: Gregariousness ,Gregariousness,38,70,High
,,,,
Openness ,,178,49,Average
O4: Actions ,Adventurousness,29,47,Average
O2: Aesthetics ,Aesthetic Appreciation,29,47,Average
O3: Feelings ,Emotionality,31,52,Average
O1: Fantasy ,Imagination,35,62,A Little High
O5: Ideas ,Intellect,42,80,Very High
O6: Values ,Liberalism,12,5,Very Low
,,,,
Agreeableness,,113,22,Low
A3: Altruism ,Altruism,24,35,Low
A4: Compliance ,Cooperation,15,12,Very Low
A5: Modesty ,Modesty/Humility,22,30,Low
A2: Straightforwardness ,Morality,18,20,Very Low
A6: Tender-Mindedness ,Sympathy,12,5,Very Low
A1: Trust ,Trust,22,30,Low
,,,,
Conscientiousness ,,213,63,A Little High
C4: Achievement-Striving ,Achievement-Striving,42,80,Very High
C6: Deliberation ,Cautiousness,38,70,High
C3: Dutifulness ,Dutifulness,23,32,Low
C2: Order ,Orderliness,30,50,Average
C5: Self-Discipline ,Self-Discipline,41,77,High
C1: Competence,Self-Efficacy,39,72,High
,,,,
"¹ NEO-PI-R Facets come from Personality in Adulthood by Costa and McRae, 2003.",,,,
² IPIP Facets come from the TedoneItemAssignmentTable spreadsheet containing these items.,,,,
