John Munch,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,146,35,Low
N2: Angry Hostility ,Anger,24,35,Low
N1: Anxiety ,Anxiety,29,47,Average
N3: Depression ,Depression,20,25,Low
N5: Impulsiveness ,Immoderation,24,35,Low
N4: Self-Consciousness ,Self-consciousness,27,42,A Little Low
N6: Vulnerability ,Vulnerability,22,30,Low
,,,,
Extraversion ,,197,57,A Little High
E4: Activity ,Activity-Level,32,55,A Little High
E3: Assertiveness ,Assertiveness,37,67,High
E6: Positive Emotions ,Cheerfulness,32,55,A Little High
E5: Excitement-Seeking ,Excitement-Seeking,26,40,A Little Low
E1: Warmth ,Friendliness,39,72,High
E2: Gregariousness ,Gregariousness,31,52,Average
,,,,
Openness ,,228,70,High
O4: Actions ,Adventurousness,36,65,High
O2: Aesthetics ,Aesthetic Appreciation,35,62,A Little High
O3: Feelings ,Emotionality,34,60,A Little High
O1: Fantasy ,Imagination,43,82,Very High
O5: Ideas ,Intellect,45,87,Very High
O6: Values ,Liberalism,35,62,A Little High
,,,,
Agreeableness,,199,57,A Little High
A3: Altruism ,Altruism,40,75,High
A4: Compliance ,Cooperation,34,60,A Little High
A5: Modesty ,Modesty/Humility,31,52,Average
A2: Straightforwardness ,Morality,35,62,A Little High
A6: Tender-Mindedness ,Sympathy,38,70,High
A1: Trust ,Trust,21,27,Low
,,,,
Conscientiousness ,,219,66,High
C4: Achievement-Striving ,Achievement-Striving,38,70,High
C6: Deliberation ,Cautiousness,35,62,A Little High
C3: Dutifulness ,Dutifulness,41,77,High
C2: Order ,Orderliness,31,52,Average
C5: Self-Discipline ,Self-Discipline,38,70,High
C1: Competence,Self-Efficacy,36,65,High
,,,,
