Meriadoc 'Merry' Brandybuck,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,131,29,Low
N2: Angry Hostility ,Anger,20,25,Low
N1: Anxiety ,Anxiety,20,25,Low
N3: Depression ,Depression,20,25,Low
N5: Impulsiveness ,Immoderation,27,42,A Little Low
N4: Self-Consciousness ,Self-consciousness,22,30,Low
N6: Vulnerability ,Vulnerability,22,30,Low
,,,,
Extraversion ,,214,64,High
E4: Activity ,Activity-Level,28,45,A Little Low
E3: Assertiveness ,Assertiveness,28,45,A Little Low
E6: Positive Emotions ,Cheerfulness,40,75,High
E5: Excitement-Seeking ,Excitement-Seeking,38,70,High
E1: Warmth ,Friendliness,40,75,High
E2: Gregariousness ,Gregariousness,40,75,High
,,,,
Openness ,,204,60,A Little High
O4: Actions ,Adventurousness,36,65,High
O2: Aesthetics ,Aesthetic Appreciation,39,72,High
O3: Feelings ,Emotionality,34,60,A Little High
O1: Fantasy ,Imagination,38,70,High
O5: Ideas ,Intellect,28,45,A Little Low
O6: Values ,Liberalism,29,47,Average
,,,,
Agreeableness,,218,65,High
A3: Altruism ,Altruism,34,60,A Little High
A4: Compliance ,Cooperation,40,75,High
A5: Modesty ,Modesty/Humility,32,55,A Little High
A2: Straightforwardness ,Morality,36,65,High
A6: Tender-Mindedness ,Sympathy,38,70,High
A1: Trust ,Trust,38,70,High
,,,,
Conscientiousness ,,205,60,A Little High
C4: Achievement-Striving ,Achievement-Striving,36,65,High
C6: Deliberation ,Cautiousness,30,50,Average
C3: Dutifulness ,Dutifulness,38,70,High
C2: Order ,Orderliness,33,57,A Little High
C5: Self-Discipline ,Self-Discipline,34,60,A Little High
C1: Competence,Self-Efficacy,34,60,A Little High
