Han Solo,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,135,31,Low
N2: Angry Hostility ,Anger,20,25,Low
N1: Anxiety ,Anxiety,20,25,Low
N3: Depression ,Depression,20,25,Low
N5: Impulsiveness ,Immoderation,29,47,Average
N4: Self-Consciousness ,Self-consciousness,22,30,Low
N6: Vulnerability ,Vulnerability,24,35,Low
,,,,
Extraversion ,,224,68,High
E4: Activity ,Activity-Level,32,55,A Little High
E3: Assertiveness ,Assertiveness,36,65,High
E6: Positive Emotions ,Cheerfulness,40,75,High
E5: Excitement-Seeking ,Excitement-Seeking,40,75,High
E1: Warmth ,Friendliness,40,75,High
E2: Gregariousness ,Gregariousness,36,65,High
,,,,
Openness ,,178,49,Average
O4: Actions ,Adventurousness,32,55,A Little High
O2: Aesthetics ,Aesthetic Appreciation,29,47,Average
O3: Feelings ,Emotionality,28,45,A Little Low
O1: Fantasy ,Imagination,30,50,Average
O5: Ideas ,Intellect,22,30,Low
O6: Values ,Liberalism,37,67,High
,,,,
Agreeableness,,184,51,Average
A3: Altruism ,Altruism,38,70,High
A4: Compliance ,Cooperation,30,50,Average
A5: Modesty ,Modesty/Humility,26,40,A Little Low
A2: Straightforwardness ,Morality,30,50,Average
A6: Tender-Mindedness ,Sympathy,30,50,Average
A1: Trust ,Trust,30,50,Average
,,,,
Conscientiousness ,,188,53,Average
C4: Achievement-Striving ,Achievement-Striving,36,65,High
C6: Deliberation ,Cautiousness,24,35,Low
C3: Dutifulness ,Dutifulness,30,50,Average
C2: Order ,Orderliness,28,45,A Little Low
C5: Self-Discipline ,Self-Discipline,40,75,High
C1: Competence,Self-Efficacy,30,50,Average
,,,,
"¹ NEO-PI-R Facets come from Personality in Adulthood by Costa and McRae, 2003.",,,,
² IPIP Facets come from the TedoneItemAssignmentTable spreadsheet containing these items.,,,,
