Leia Organa,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,128,28,Low
N2: Angry Hostility ,Anger,26,40,A Little Low
N1: Anxiety ,Anxiety,20,25,Low
N3: Depression ,Depression,20,25,Low
N5: Impulsiveness ,Immoderation,21,27,Low
N4: Self-Consciousness ,Self-consciousness,21,27,Low
N6: Vulnerability ,Vulnerability,20,25,Low
,,,,
Extraversion ,,201,58,A Little High
E4: Activity ,Activity-Level,30,50,Average
E3: Assertiveness ,Assertiveness,44,85,Very High
E6: Positive Emotions ,Cheerfulness,25,37,A Little Low
E5: Excitement-Seeking ,Excitement-Seeking,27,42,A Little Low
E1: Warmth ,Friendliness,41,77,High
E2: Gregariousness ,Gregariousness,34,60,A Little High
,,,,
Openness ,,207,61,A Little High
O4: Actions ,Adventurousness,36,65,High
O2: Aesthetics ,Aesthetic Appreciation,32,55,A Little High
O3: Feelings ,Emotionality,32,55,A Little High
O1: Fantasy ,Imagination,33,57,A Little High
O5: Ideas ,Intellect,40,75,High
O6: Values ,Liberalism,34,60,A Little High
,,,,
Agreeableness,,215,64,High
A3: Altruism ,Altruism,41,77,High
A4: Compliance ,Cooperation,32,55,A Little High
A5: Modesty ,Modesty/Humility,32,55,A Little High
A2: Straightforwardness ,Morality,32,55,A Little High
A6: Tender-Mindedness ,Sympathy,40,75,High
A1: Trust ,Trust,38,70,High
,,,,
Conscientiousness ,,237,73,High
C4: Achievement-Striving ,Achievement-Striving,43,82,Very High
C6: Deliberation ,Cautiousness,40,75,High
C3: Dutifulness ,Dutifulness,40,75,High
C2: Order ,Orderliness,36,65,High
C5: Self-Discipline ,Self-Discipline,38,70,High
C1: Competence,Self-Efficacy,40,75,High
,,,,
"¹ NEO-PI-R Facets come from Personality in Adulthood by Costa and McRae, 2003.",,,,
² IPIP Facets come from the TedoneItemAssignmentTable spreadsheet containing these items.,,,,
