Bernie Sanders,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,133,30,Low
N2: Angry Hostility ,Anger,30,50,Average
N1: Anxiety ,Anxiety,22,30,Low
N3: Depression ,Depression,19,22,Low
N5: Impulsiveness ,Immoderation,22,30,Low
N4: Self-Consciousness ,Self-consciousness,22,30,Low
N6: Vulnerability ,Vulnerability,18,20,Very Low
,,,,
Extraversion ,,189,53,Average
E4: Activity ,Activity-Level,33,57,A Little High
E3: Assertiveness ,Assertiveness,46,90,Very High
E6: Positive Emotions ,Cheerfulness,27,42,A Little Low
E5: Excitement-Seeking ,Excitement-Seeking,26,40,A Little Low
E1: Warmth ,Friendliness,33,57,A Little High
E2: Gregariousness ,Gregariousness,24,35,Low
,,,,
Openness ,,220,66,High
O4: Actions ,Adventurousness,36,65,High
O2: Aesthetics ,Aesthetic Appreciation,39,72,High
O3: Feelings ,Emotionality,31,52,Average
O1: Fantasy ,Imagination,34,60,A Little High
O5: Ideas ,Intellect,42,80,Very High
O6: Values ,Liberalism,38,70,High
,,,,
Agreeableness,,198,57,A Little High
A3: Altruism ,Altruism,43,82,Very High
A4: Compliance ,Cooperation,26,40,A Little Low
A5: Modesty ,Modesty/Humility,21,27,Low
A2: Straightforwardness ,Morality,34,60,A Little High
A6: Tender-Mindedness ,Sympathy,40,75,High
A1: Trust ,Trust,34,60,A Little High
,,,,
Conscientiousness ,,233,72,High
C4: Achievement-Striving ,Achievement-Striving,40,75,High
C6: Deliberation ,Cautiousness,40,75,High
C3: Dutifulness ,Dutifulness,39,72,High
C2: Order ,Orderliness,32,55,A Little High
C5: Self-Discipline ,Self-Discipline,41,77,High
C1: Competence,Self-Efficacy,41,77,High
,,,,
"¹ NEO-PI-R Facets come from Personality in Adulthood by Costa and McRae, 2003.",,,,
² IPIP Facets come from the TedoneItemAssignmentTable spreadsheet containing these items.,,,,
