Donald Trump,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,139,32,Low
N2: Angry Hostility,Anger,36,65,High
N1: Anxiety,Anxiety,22,30,Low
N3: Depression,Depression,15,12,Very Low
N5: Impulsiveness,Immoderation,30,50,Average
N4: Self-consciousness,Self-consciousness,19,22,Low
N6: Vulnerability,Vulnerability,17,17,Very Low
,,,,
Extraversion ,,242,75,High
E4: Activity,Activity-Level,33,57,A Little High
E3: Assertiveness,Assertiveness,49,97,Very High
E6: Positive Emotions,Cheerfulness,36,65,High
E5: Excitement-Seeking,Excitement-Seeking,37,67,High
E1: Warmth,Friendliness,43,82,Very High
E2: Gregariousness,Gregariousness,44,85,Very High
,,,,
Openness ,,150,37,A Little Low
O4: Actions,Adventurousness,30,50,Average
O2: Aesthetics,Aesthetic Appreciation,28,45,A Little Low
O3: Feelings,Emotionality,24,35,Low
O1: Fantasy,Imagination,28,45,A Little Low
O5: Ideas,Intellect,25,37,A Little Low
O6: Values,Liberalism,15,12,Very Low
,,,,
Agreeableness,,112,21,Low
A3: Altruism,Altruism,26,40,A Little Low
A4: Compliance,Cooperation,11,2,Very Low
A5: Modesty,Modesty/Humility,11,2,Very Low
A2: Straightforwardness,Morality,22,30,Low
A6: Tender- Mindedness,Sympathy,16,15,Very Low
A1: Trust,Trust,26,40,A Little Low
,,,,
Conscientiousness ,,215,64,High
C4: Achievement-Striving,Achievement-Striving,44,85,Very High
C6: Deliberation,Cautiousness,27,42,A Little Low
C3: Dutifulness,Dutifulness,29,47,Average
C2: Order,Orderliness,29,47,Average
C5: Self-Discipline,Self-Discipline,41,77,High
C1: Competence,Self-Efficacy,45,87,Very High
