Kamala Harris,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,128,28,Low
N2: Angry Hostility ,Anger,23,32,Low
N1: Anxiety ,Anxiety,22,30,Low
N3: Depression ,Depression,20,25,Low
N5: Impulsiveness ,Immoderation,24,35,Low
N4: Self-Consciousness ,Self-consciousness,19,22,Low
N6: Vulnerability ,Vulnerability,20,25,Low
,,,,
Extraversion ,,222,67,High
E4: Activity ,Activity-Level,34,60,A Little High
E3: Assertiveness ,Assertiveness,41,77,High
E6: Positive Emotions ,Cheerfulness,36,65,High
E5: Excitement-Seeking ,Excitement-Seeking,32,55,A Little High
E1: Warmth ,Friendliness,40,75,High
E2: Gregariousness ,Gregariousness,39,72,High
,,,,
Openness ,,221,67,High
O4: Actions ,Adventurousness,38,70,High
O2: Aesthetics ,Aesthetic Appreciation,36,65,High
O3: Feelings ,Emotionality,38,70,High
O1: Fantasy ,Imagination,34,60,A Little High
O5: Ideas ,Intellect,39,72,High
O6: Values ,Liberalism,36,65,High
,,,,
Agreeableness,,201,58,A Little High
A3: Altruism ,Altruism,41,77,High
A4: Compliance ,Cooperation,30,50,Average
A5: Modesty ,Modesty/Humility,24,35,Low
A2: Straightforwardness ,Morality,32,55,A Little High
A6: Tender-Mindedness ,Sympathy,38,70,High
A1: Trust ,Trust,36,65,High
,,,,
Conscientiousness ,,236,73,High
C4: Achievement-Striving ,Achievement-Striving,41,77,High
C6: Deliberation ,Cautiousness,39,72,High
C3: Dutifulness ,Dutifulness,40,75,High
C2: Order ,Orderliness,38,70,High
C5: Self-Discipline ,Self-Discipline,40,75,High
C1: Competence,Self-Efficacy,38,70,High
