Nikki Haley,,,,
Factor/NEO-PI-R Facet¹,IPIP Facet²,Raw,Percent,Meaning
Neuroticism ,,128,28,Low
N2: Angry Hostility ,Anger,20,25,Low
N1: Anxiety ,Anxiety,24,35,Low
N3: Depression ,Depression,19,22,Low
N5: Impulsiveness ,Immoderation,23,32,Low
N4: Self-Consciousness ,Self-consciousness,20,25,Low
N6: Vulnerability ,Vulnerability,22,30,Low
,,,,
Extraversion ,,207,61,A Little High
E4: Activity ,Activity-Level,28,45,A Little Low
E3: Assertiveness ,Assertiveness,40,75,High
E6: Positive Emotions ,Cheerfulness,35,62,A Little High
E5: Excitement-Seeking ,Excitement-Seeking,26,40,A Little Low
E1: Warmth ,Friendliness,40,75,High
E2: Gregariousness ,Gregariousness,38,70,High
,,,,
Openness ,,195,56,A Little High
O4: Actions ,Adventurousness,34,60,A Little High
O2: Aesthetics ,Aesthetic Appreciation,32,55,A Little High
O3: Feelings ,Emotionality,36,65,High
O1: Fantasy ,Imagination,29,47,Average
O5: Ideas ,Intellect,41,77,High
O6: Values ,Liberalism,23,32,Low
,,,,
Agreeableness,,220,66,High
A3: Altruism ,Altruism,40,75,High
A4: Compliance ,Cooperation,36,65,High
A5: Modesty ,Modesty/Humility,30,50,Average
A2: Straightforwardness ,Morality,40,75,High
A6: Tender-Mindedness ,Sympathy,36,65,High
A1: Trust ,Trust,38,70,High
,,,,
Conscientiousness ,,241,75,High
C4: Achievement-Striving ,Achievement-Striving,42,80,Very High
C6: Deliberation ,Cautiousness,40,75,High
C3: Dutifulness ,Dutifulness,43,82,Very High
C2: Order ,Orderliness,38,70,High
C5: Self-Discipline ,Self-Discipline,38,70,High
C1: Competence,Self-Efficacy,40,75,High
